 21:34:38 up 46 min,  2 users,  load average: 0.33, 0.55, 0.56
 21:34:39 up 46 min,  2 users,  load average: 0.30, 0.54, 0.56
 21:34:40 up 46 min,  2 users,  load average: 0.30, 0.54, 0.56
 21:34:41 up 46 min,  2 users,  load average: 0.30, 0.54, 0.56
 21:34:43 up 46 min,  2 users,  load average: 0.30, 0.54, 0.56
 21:34:44 up 46 min,  2 users,  load average: 0.30, 0.54, 0.56
 21:34:45 up 46 min,  2 users,  load average: 0.28, 0.53, 0.56
 21:34:46 up 46 min,  2 users,  load average: 0.28, 0.53, 0.56
 21:34:47 up 46 min,  2 users,  load average: 0.28, 0.53, 0.56
 21:34:48 up 46 min,  2 users,  load average: 0.28, 0.53, 0.56
 22:25:30 up  1:37,  2 users,  load average: 0.41, 0.56, 0.54
 22:25:31 up  1:37,  2 users,  load average: 0.54, 0.58, 0.55
 22:25:33 up  1:37,  2 users,  load average: 0.54, 0.58, 0.55
 22:25:34 up  1:37,  2 users,  load average: 0.54, 0.58, 0.55
 22:25:36 up  1:37,  2 users,  load average: 0.50, 0.57, 0.55
